"key","config_id","sigma_ps","se_psi_obs","K","ex_violation","psi","mu_b","bf_true","true_zone","method","bias","rmse","sd","coverage","ci_width"
"cfg1_psi-0.14_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.2,0.588235294117647,"bias-dominated","mcmc",0.0169435853112405,0.115003944232638,0.113805860480663,0.972,0.517944063663197
"cfg1_psi-0.14_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.15,0.517241379310345,"bias-dominated","mc",0.019081711789751,0.139653225632657,0.138412679240571,0.537,0.19009747733556
"cfg1_psi-0.14_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.15,0.517241379310345,"bias-dominated","mcmc",0.015356965782574,0.126885594711736,0.126015863069095,0.986,0.606120398062028
"cfg1_psi-0.14_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.1,0.416666666666667,"mixed","mc",0.0275371122496359,0.148818393091421,0.146321671678759,0.623,0.231304864370018
"cfg1_psi-0.14_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.1,0.416666666666667,"mixed","mcmc",0.0233355468776861,0.132662703873739,0.130659546793102,0.999,0.711474197039
"cfg1_psi-0.14_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.05,0.263157894736842,"effect-dominated","mc",0.0306985363030724,0.157008740137248,0.154055436209698,0.743,0.297766660555606
"cfg1_psi-0.14_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.05,0.263157894736842,"effect-dominated","mcmc",0.0316473681996106,0.129235903150001,0.125363785950579,1,0.724263702464496
"cfg1_psi-0.1_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.1,-0.4,0.8,"bias-dominated","mc",0.00826193690165483,0.0934298836519765,0.0931104350272616,0.396,0.104503108195465
"cfg1_psi-0.1_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.1,-0.4,0.8,"bias-dominated","mcmc",0.00238098277569453,0.0836800202511665,0.0836879943041302,0.947,0.317346523022771
"cfg1_psi-0.1_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.1,-0.35,0.777777777777778,"bias-dominated","mc",0.00849254803622859,0.10350666407048,0.103209293637467,0.396,0.115214777054167
