"key","config_id","sigma_ps","K","ex_violation","psi","mu_b","bf_true","true_zone","Mean_BF_mc","ci_lo_mc","ci_hi_mc","Mean_BF_mcmc","ci_lo_mcmc","ci_hi_mcmc"
"cfg3_psi-0.1_mu-0.2_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.1,-0.2,0.666666666666667,"bias-dominated",0.680159222799062,0.610996367620942,0.745479931064141,0.676825961709746,0.498296433023112,0.837909273009153
"cfg3_psi-0.1_mu-0.3_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.1,-0.3,0.75,"bias-dominated",0.756907039204107,0.705018501096917,0.805397649818119,0.7540057278921,0.621541902174056,0.874111601123697
"cfg3_psi-0.1_mu-0.4_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.1,-0.4,0.8,"bias-dominated",0.806696237109468,0.766111633734787,0.846322529317686,0.80447494428792,0.698555375032491,0.900618376973483
"cfg3_psi-0.15_mu-0.05_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.15,-0.05,0.25,"effect-dominated",0.277593092215478,0.165774927239189,0.387608364805623,0.275992499671226,0.0342338016558827,0.556968926146047
"cfg3_psi-0.15_mu-0.1_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.15,-0.1,0.4,"mixed",0.428801350345812,0.342498144436987,0.514075385820808,0.426936438792222,0.199941270194817,0.64672910804816
"cfg3_psi-0.15_mu-0.15_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.15,-0.15,0.5,"mixed",0.526066761497946,0.454733696145681,0.597271762561972,0.525610917459385,0.336551803481204,0.708497976933014
"cfg3_psi-0.15_mu-0.2_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.15,-0.2,0.571428571428572,"bias-dominated",0.585172336284297,0.525340084813322,0.643817881860875,0.584037935945742,0.426899988965276,0.737228021011418
"cfg3_psi-0.15_mu-0.3_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.15,-0.3,0.666666666666667,"bias-dominated",0.675132639030755,0.628829238811958,0.720936097504972,0.674305917148631,0.55272182649999,0.793159919770415
"cfg3_psi-0.15_mu-0.4_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.15,-0.4,0.727272727272727,"bias-dominated",0.736684275661022,0.69904086312137,0.773763018273052,0.735642717893999,0.636939871271171,0.832049212409273
"cfg3_psi-0.2_mu-0.05_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.2,-0.05,0.2,"effect-dominated",0.21217843624,0.126004145959461,0.299383080633936,0.212240063859856,0.0253082545026509,0.441241322163466
"cfg3_psi-0.2_mu-0.1_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.2,-0.1,0.333333333333333,"mixed",0.351515447126594,0.280560884134767,0.422790155044627,0.350398741377389,0.16289250411911,0.538727985879165
"cfg3_psi-0.2_mu-0.15_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.2,-0.15,0.428571428571428,"mixed",0.439675200737741,0.38015036219613,0.499987362316386,0.439813040356207,0.28120578022428,0.598138692702442
"cfg3_psi-0.2_mu-0.2_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.2,-0.2,0.5,"mixed",0.511609301189135,0.458959569903777,0.563858899273083,0.5108130138425,0.372815456647717,0.648855747928529
"cfg3_psi-0.2_mu-0.3_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.2,-0.3,0.6,"bias-dominated",0.605076866343856,0.563619475372382,0.646960015412008,0.605411694349934,0.495571964425027,0.714905588767837
"cfg3_psi-0.2_mu-0.4_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.2,-0.4,0.666666666666667,"bias-dominated",0.677087106978702,0.642388462328778,0.711556782988208,0.676132248459392,0.584736467244824,0.767142278042646
