psi_f,mu_f,bf_hat_bin,n,med,q1,q3,loa_lo,loa_hi
-0.1,-0.2,"[0.3, 0.4)",707,-0.30120056271503,-0.324423733620058,-0.282503987458294,-0.359617493942363,-0.267724235998738
-0.1,-0.3,"[0.6, 0.7)",2143,-0.0992490662268486,-0.12253799693742,-0.0742341474912495,-0.147346177166361,-0.0526766644082758
-0.1,-0.3,"[0.9, 1.0)",768,0.194498537994464,0.171792507303111,0.222704770252236,0.151694329380081,0.24812189270029
-0.1,-0.3,"[0.7, 0.8)",1739,-0.00700909618503942,-0.0289005239664098,0.019345676225463,-0.0473861790666869,0.0470266914425902
-0.1,-0.3,"[0.5, 0.6)",1643,-0.190488959224765,-0.216265847310301,-0.169107071585984,-0.245184675920709,-0.152395903810908
-0.1,-0.3,"[0.8, 0.9)",1184,0.0938144236189583,0.0702051308721536,0.120419950816331,0.052084025702532,0.146304777915421
-0.1,-0.3,"[0.4, 0.5)",486,-0.27774756761156,-0.298437374504304,-0.261190100716607,-0.343769342871801,-0.251389143286567
-0.1,-0.4,"[0.7, 0.8)",2433,-0.0518605842988752,-0.0754548550699571,-0.028247017142562,-0.097017673670745,-0.0025058835779644
-0.1,-0.4,"[0.9, 1.0)",1119,0.143987773781954,0.123246378705379,0.171858719031402,0.102699346523545,0.196918295291768
-0.1,-0.4,"[0.8, 0.9)",1744,0.0434486615115671,0.0203585970290154,0.0704845048989827,0.00198658910361036,0.0966562094014205
-0.1,-0.4,"[0.6, 0.7)",1986,-0.141029030966579,-0.166559627704008,-0.120023096414229,-0.196425098327308,-0.102354078865597
-0.1,-0.4,"[0.5, 0.6)",654,-0.227270764036613,-0.254804631351551,-0.213134452689479,-0.292537144513585,-0.200838091312426
-0.15,-0.05,"[0.2, 0.3)",1428,-0.00672037822083575,-0.0282005066137195,0.0192974674978669,-0.0474464568586123,0.0459921769115856
-0.15,-0.05,"[0.1, 0.2)",1795,-0.100367255657815,-0.125964145623541,-0.0747665296099511,-0.14806250353726,-0.0536029359648802
-0.15,-0.05,"[0.3, 0.4)",712,0.0918868557124,0.0686606928665349,0.117471846465077,0.0513864791467372,0.145249987101592
-0.15,-0.05,"[0.4, 0.5)",339,0.190975328370905,0.168970852718799,0.22087403599396,0.15155322470172,0.245364708498191
-0.15,-0.05,"[0.5, 0.6)",166,0.293457506085941,0.272926834659991,0.31886522021218,0.252651684784369,0.342374664664572
-0.15,-0.05,"[0.0, 0.1)",3286,-0.210741969817263,-0.23145228749476,-0.18549895966841,-0.248254408866137,-0.154607690408583
-0.15,-0.05,"[0.7, 0.8)",86,0.494953395805397,0.473880321460855,0.52249904713965,0.451231348687266,0.545642181235681
-0.15,-0.05,"[0.6, 0.7)",95,0.390897652850138,0.366213014603336,0.406404808446084,0.352229037286417,0.440044376043471
-0.15,-0.05,"[0.8, 0.9)",52,0.591543453500281,0.575562656757635,0.612445014396496,0.552573962326895,0.641834207913298
-0.15,-0.05,"[0.9, 1.0)",41,0.693795903295978,0.659537956296092,0.717174499360536,0.650852895802694,0.749036587128055
-0.15,-0.1,"[0.2, 0.3)",2021,-0.153530657883487,-0.177163130855333,-0.126354434958563,-0.197685537293879,-0.102889702846046
-0.15,-0.1,"[0.4, 0.5)",1058,0.0408875988363112,0.0200485671219002,0.068227170545688,0.00198574086442463,0.095364715094026
-0.15,-0.1,"[0.9, 1.0)",95,0.543549391306488,0.517393995960591,0.5760462215744,0.502086242138925,0.595033262723553
-0.15,-0.1,"[0.6, 0.7)",301,0.245281201338323,0.217158472247643,0.2712270696844,0.202226627777383,0.296865043863152
-0.15,-0.1,"[0.3, 0.4)",1736,-0.0509272341785534,-0.0774721380879088,-0.0255131122223274,-0.0981001151957917,-0.00299474620815703
-0.15,-0.1,"[0.1, 0.2)",1681,-0.242389630717081,-0.266906880699968,-0.219952465841867,-0.295952303702934,-0.202231817096811
-0.15,-0.1,"[0.8, 0.9)",104,0.439932367776954,0.420011420143437,0.466834128502925,0.404727501473329,0.496937025815375
-0.15,-0.1,"[0.5, 0.6)",526,0.139412869275726,0.117287914915947,0.166094054001159,0.101185098885657,0.196088837801368
-0.15,-0.1,"[0.7, 0.8)",191,0.347110327486222,0.321324031259231,0.377739413055134,0.301703815344626,0.396463523193591
-0.15,-0.15,"[0.4, 0.5)",1889,-0.0541646889881604,-0.0785342946635789,-0.0292125989941177,-0.0972906626687135,-0.00411614167885302
-0.15,-0.15,"[0.3, 0.4)",2100,-0.150367486009638,-0.174690384245767,-0.1259989441881,-0.197666908384397,-0.103102406653354
-0.15,-0.15,"[0.5, 0.6)",1264,0.0435929615398755,0.0212153396175809,0.0707050143470475,0.00177502938185998,0.0968470816639947
