cond,n,bf_true,true_log_rr,bias_mu,n_nc,se_psi_obs,coverage_current,coverage_joint,half_cur,half_jnt
cfg1_psi-0.27_mu-0.2_sps0.06,200,0.425531914893617,-0.27,-0.2,12,0.06,99.5,100,0.192387244921153,0.228359741106929
cfg1_psi-0.27_mu-0.15_sps0.06,200,0.357142857142857,-0.27,-0.15,12,0.06,100,100,0.214114025386848,0.239364245602568
cfg1_psi-0.27_mu-0.1_sps0.06,200,0.27027027027027,-0.27,-0.1,12,0.06,100,100,0.233785724425912,0.262235224634089
cfg1_psi-0.27_mu-0.05_sps0.06,200,0.15625,-0.27,-0.05,12,0.06,100,100,0.217871337838806,0.242772190976812
cfg1_psi-0.23_mu-0.4_sps0.06,200,0.634920634920635,-0.23,-0.4,12,0.06,98,100,0.147227274320821,0.194885543061804
cfg1_psi-0.23_mu-0.35_sps0.06,200,0.603448275862069,-0.23,-0.35,12,0.06,95.5,98,0.156313765459024,0.201932035988912
cfg1_psi-0.23_mu-0.3_sps0.06,200,0.566037735849057,-0.23,-0.3,12,0.06,98,99.5,0.174321849981831,0.221584106432013
cfg1_psi-0.23_mu-0.25_sps0.06,200,0.520833333333333,-0.23,-0.25,12,0.06,99.5,100,0.184540763984002,0.233123037745917
cfg1_psi-0.23_mu-0.2_sps0.06,200,0.465116279069768,-0.23,-0.2,12,0.06,99.5,100,0.213663019173935,0.262225158239943
cfg1_psi-0.23_mu-0.15_sps0.06,200,0.394736842105263,-0.23,-0.15,12,0.06,100,100,0.238716563799029,0.282197049208187
cfg1_psi-0.23_mu-0.1_sps0.06,200,0.303030303030303,-0.23,-0.1,12,0.06,100,100,0.25910136155064,0.307132068492998
cfg1_psi-0.23_mu-0.05_sps0.06,200,0.178571428571429,-0.23,-0.05,12,0.06,100,100,0.252860610893512,0.301458170611083
cfg1_psi-0.18_mu-0.4_sps0.06,200,0.689655172413793,-0.18,-0.4,12,0.06,96.5,99.5,0.158589664815534,0.203847946486873
cfg1_psi-0.18_mu-0.35_sps0.06,200,0.660377358490566,-0.18,-0.35,12,0.06,97,99,0.170968071829537,0.219217662375545
cfg1_psi-0.18_mu-0.3_sps0.06,200,0.625,-0.18,-0.3,12,0.06,97.5,100,0.189618677848428,0.241063616924305
cfg1_psi-0.18_mu-0.25_sps0.06,200,0.581395348837209,-0.18,-0.25,12,0.06,98.5,100,0.212736106399828,0.267921513521068
cfg1_psi-0.18_mu-0.2_sps0.06,200,0.526315789473684,-0.18,-0.2,12,0.06,99.5,99.5,0.24270013182,0.295791867565125
cfg1_psi-0.18_mu-0.15_sps0.06,200,0.454545454545455,-0.18,-0.15,12,0.06,99.5,100,0.279932925183098,0.338391476746834
cfg1_psi-0.18_mu-0.1_sps0.06,200,0.357142857142857,-0.18,-0.1,12,0.06,100,100,0.306403619236345,0.372588251753322
cfg1_psi-0.18_mu-0.05_sps0.06,200,0.217391304347826,-0.18,-0.05,12,0.06,100,100,0.302046527578924,0.368883990443663
cfg1_psi-0.14_mu-0.4_sps0.06,200,0.740740740740741,-0.14,-0.4,12,0.06,93.5,98.5,0.160374970257684,0.20465468756478
